"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,79,2,10000000,1.000000e+07,0.332402,0.059908,0.216153,0.434497
psrs,Yes,80,2,10000000,1.000000e+07,0.346034,0.050224,0.267561,0.436428
psrs,Yes,81,2,10000000,1.000000e+07,0.326628,0.037333,0.268344,0.384959
psrs,Yes,82,2,10000000,1.000000e+07,0.329554,0.047484,0.257765,0.420153
psrs,Yes,83,2,10000000,1.000000e+07,0.357672,0.055874,0.299307,0.489560
psrs,Yes,84,2,10000000,1.000000e+07,0.346648,0.056355,0.269442,0.456527
psrs,Yes,85,2,10000000,1.000000e+07,0.342898,0.034563,0.275677,0.391167
psrs,Yes,86,2,10000000,1.000000e+07,0.338132,0.037665,0.270538,0.399977
psrs,Yes,87,2,10000000,1.000000e+07,0.345389,0.065152,0.226096,0.429741
psrs,Yes,88,2,10000000,1.000000e+07,0.354726,0.053151,0.276349,0.448444
psrs,Yes,89,2,10000000,1.000000e+07,0.334889,0.037493,0.263883,0.383930
psrs,Yes,90,2,10000000,1.000000e+07,0.340812,0.063490,0.256752,0.470561
psrs,Yes,91,2,10000000,1.000000e+07,0.327487,0.048201,0.245459,0.422891
psrs,Yes,92,2,10000000,1.000000e+07,0.345215,0.059483,0.229549,0.432434
psrs,Yes,93,2,10000000,1.000000e+07,0.340781,0.046027,0.280946,0.436532
psrs,Yes,94,2,10000000,1.000000e+07,0.359846,0.041891,0.287313,0.425176
psrs,Yes,95,2,10000000,1.000000e+07,0.350629,0.057994,0.293097,0.458649
psrs,Yes,96,2,10000000,1.000000e+07,0.360725,0.045002,0.315899,0.458261
psrs,Yes,97,2,10000000,1.000000e+07,0.365521,0.049639,0.277269,0.478835
psrs,Yes,98,2,10000000,1.000000e+07,0.388284,0.049557,0.301326,0.474682
psrs,Yes,99,2,10000000,1.000000e+07,0.361459,0.066444,0.224874,0.437128
psrs,Yes,100,2,10000000,1.000000e+07,0.372236,0.057141,0.265795,0.446024
psrs,Yes,101,2,10000000,1.000000e+07,0.363324,0.048192,0.279980,0.424834
psrs,Yes,102,2,10000000,1.000000e+07,0.357784,0.055492,0.296877,0.446602
psrs,Yes,103,2,10000000,1.000000e+07,0.368799,0.033727,0.306717,0.407365
psrs,Yes,104,2,10000000,1.000000e+07,0.375706,0.045934,0.317880,0.463147
psrs,Yes,105,2,10000000,1.000000e+07,0.372655,0.062079,0.282263,0.452146
psrs,Yes,106,2,10000000,1.000000e+07,0.380725,0.055128,0.260986,0.469285
psrs,Yes,107,2,10000000,1.000000e+07,0.395660,0.035334,0.354702,0.463372
psrs,Yes,108,2,10000000,1.000000e+07,0.375479,0.022976,0.329389,0.416075
psrs,Yes,109,2,10000000,1.000000e+07,0.380234,0.037135,0.315193,0.434707
psrs,Yes,110,2,10000000,1.000000e+07,0.389378,0.043438,0.343322,0.496152
psrs,Yes,111,2,10000000,1.000000e+07,0.379462,0.035512,0.330065,0.451391
psrs,Yes,112,2,10000000,1.000000e+07,0.391733,0.059639,0.311397,0.488199
psrs,Yes,113,2,10000000,1.000000e+07,0.368989,0.053889,0.290952,0.463955
psrs,Yes,114,2,10000000,1.000000e+07,0.356191,0.022014,0.319606,0.384006
psrs,Yes,115,2,10000000,1.000000e+07,0.387152,0.049267,0.306660,0.489519
psrs,Yes,116,2,10000000,1.000000e+07,0.374708,0.062847,0.264267,0.479618
psrs,Yes,117,2,10000000,1.000000e+07,0.374760,0.050174,0.309375,0.504796
psrs,Yes,118,2,10000000,1.000000e+07,0.388205,0.040773,0.311909,0.458162
psrs,Yes,119,2,10000000,1.000000e+07,0.389069,0.040625,0.339446,0.466871
psrs,Yes,120,2,10000000,1.000000e+07,0.417487,0.059356,0.322115,0.520342
psrs,Yes,121,2,10000000,1.000000e+07,0.379089,0.039382,0.313126,0.456792
psrs,Yes,122,2,10000000,1.000000e+07,0.390326,0.047554,0.333343,0.472351
psrs,Yes,123,2,10000000,1.000000e+07,0.450115,0.061504,0.385636,0.575846
psrs,Yes,124,2,10000000,1.000000e+07,0.396246,0.062629,0.339708,0.545337
psrs,Yes,125,2,10000000,1.000000e+07,0.420369,0.058595,0.357357,0.513222
psrs,Yes,126,2,10000000,1.000000e+07,0.391493,0.043021,0.323116,0.469574
psrs,Yes,127,2,10000000,1.000000e+07,0.390185,0.052306,0.325208,0.468705
psrs,Yes,128,2,10000000,1.000000e+07,0.600498,0.354741,0.384725,1.650125
serial,Yes,1,1,10000000,1.000000e+07,11.971606,0.065543,11.891753,12.130601
simple,Yes,1,2,10000000,1.000000e+07,12.034275,0.137789,11.823441,12.314616
simple,Yes,2,2,10000000,1.000000e+07,7.162632,2.873424,3.496480,12.523160
simple,Yes,4,2,10000000,1.000000e+07,3.495817,2.157032,0.615759,7.431269
simple,Yes,8,2,10000000,1.000000e+07,2.451933,1.896850,0.219574,6.708530
simple,Yes,16,2,10000000,1.000000e+07,2.164325,0.843389,0.133779,3.312680
simple,Yes,32,2,10000000,1.000000e+07,1.612510,0.769042,0.318155,3.122244
